Product.ID,Product.Name,Sales,Profit,Quantity,Orders,Profit_Margin
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",159,60.39,3,2,0.37981132075471696
FUR-ADV-10000108,"Advantus Clock, Erganomic",350,3.36,7,3,0.0096
FUR-ADV-10000183,"Advantus Photo Frame, Black",975,-651.7379999999999,31,8,-0.6684492307692307
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",125,4.200000000000003,7,5,0.033600000000000026
FUR-ADV-10000190,"Advantus Frame, Duo Pack",222,104.46,2,1,0.4705405405405405
FUR-ADV-10000571,"Advantus Frame, Erganomic",2195,702.0,20,8,0.3198177676537585
FUR-ADV-10000600,"Advantus Clock, Duo Pack",206,24.6,4,2,0.11941747572815535
FUR-ADV-10000847,"Advantus Stacking Tray, Black",290,81.18,11,5,0.27993103448275863
FUR-ADV-10001283,"Advantus Frame, Black",178,-88.968,3,2,-0.49982022471910115
FUR-ADV-10001440,"Advantus Door Stop, Black",959,176.379,22,7,0.18391970802919708
FUR-ADV-10001659,"Advantus Light Bulb, Durable",146,16.86,10,6,0.11547945205479451
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",89,12.618000000000002,4,4,0.14177528089887642
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",7,-9.534,1,1,-1.362
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",497,200.01,11,5,0.40243460764587524
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",36,-48.708,2,1,-1.353
FUR-ADV-10002889,"Advantus Clock, Durable",803,-61.488,19,7,-0.07657285180572852
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",186,57.84,8,5,0.3109677419354839
FUR-ADV-10003326,"Advantus Light Bulb, Black",54,11.589,4,4,0.2146111111111111
FUR-ADV-10004159,"Advantus Frame, Durable",195,-286.68,5,3,-1.4701538461538461
FUR-ADV-10004223,"Advantus Clock, Black",66,-6.212999999999999,2,2,-0.09413636363636363
FUR-ADV-10004395,"Advantus Door Stop, Durable",614,4.206000000000003,29,10,0.006850162866449516
FUR-ADV-10004499,"Advantus Photo Frame, Durable",250,39.900000000000006,5,3,0.15960000000000002
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",124,-20.184,9,5,-0.1627741935483871
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",393,121.77,9,2,0.3098473282442748
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",1003,30.06,2,1,0.029970089730807576
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",320,121.5,1,1,0.3796875
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",3360,134.4,7,2,0.04
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",212,-303.02099999999996,2,2,-1.4293443396226413
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",7371,2358.42,23,3,0.31995929995929995
